自分,が
それ,が
それ,を
自分,が
人,に
エヴァ,に
他,に
あんた,なんか
自分,から
朝,。
みんな,、
何,が
私,を
私,の
ママ,の
行きたくない,。
私,が
あんた,バカ
今,の
あなた,の
自分,の
他,の
母親,は
なん,だ
何,甘え
ギャー,！
むぅ,…
むぅぅ,！
あんた,も
何,よ
何,よ
あんた,バカ
嘘,ね
他人,の
自分,が
人,から
一人,で
ここ,は
てこ,と
私,は
私,は
誰,も
一人,は
私,を
真実,は
たくさん,ある
破滅,を
ママーッ,！
誰,に
シンクロ率,ゼロ
私,が
ヒカリ,…
私,、
嫌い,…
何,よ
嫌,よ
何,よ
あたし,に
へん,、
女,だ
心,を
はん,、
何,よ
私たち,は
みんな,、
あなた,は
使徒,！
バックアップ,？
冗談,じゃ
これ,を
ミス,は
こんち,くしょ
私,の
イタイ,！
嫌,ぁ
私,の
嫌,、
私,は
ママ,！
パパ,も
嫌い,嫌い
何,も
あんた,バカ
なにやってんの,、
心,も
何,を
だめ,かも
怪我,は
A.T.フィールド,は
うそ,！
こんち,くしょ
避難訓練,？
チッキ,ショウ
あんた,達
ヒッカリー,！
鈴原,の
見え,見え
あれ,が
鈴原,が
安心,し
一つ,聞い
加持,さん
何,グジグジ
あんた,まだ
これ,私たち
フフフンフッフ,〜
シンジ,ってな
彼,の
加持,さん
そりゃ,もう
バカ,！
影,？
街,が
昨日,の
何,が
私,、
キャァ,〜
なんちゃって,…
明日,の
残念,ながら
値段,より
継続,は
退屈,な
ミサト,？
あんた,バカ
キス,よ
退屈,だ
お母さん,の
歯,、
鼻息,こそばゆい
ガラガラガラガラガラガラガラガラガラ,…
加持,さん
あんた,と
あったりまえ,でしょ
バッカ,ねぇ
何,が
はいはい,！
何,よ
ミサト,も
感覚,が
ハン,、
先,に
私,が
そりゃ,ぁもう
きっと,加持
機体,が
これ,で
作戦,と
忘れないでよ,！
今時,の
フン,、
あんた,も
ゲェ,！
何,よ
シンジ,は
こん,の
ミサト,の
私,は
あんた,、
それ,は
何,やっ
これ,も
下,で
こっち,も
あんた,バカ
あそこ,まで
あんた,って
何,よ
リーダー,は
何,よ
あんた,バカ
デーェ,い
あんた,、
あんた,、
ファースト,って
バカ,!
ここ,に
バックアップ,は
おあいにくさま,。
シンジ,が
これ,で
あんた,バカ
フンフフンフンフンフ,〜
加持,さん
オ・キ・ナ・ワ,！
誰,が
あんた,！
フン,、
イーーーーーッ,だ
何,し
ジャーン,！
問題,に
熱,膨張
あたし,の
バックロールエントリー,！
残念,だっ
これ,が
嫌,だ
あなたに,は
ファースト,が
カッコ,悪い
いつ,でも
ジャイアントストロングエントリー,！
現在,、
これ,でも
反応,なし
ミサト,の
相対速度,2
電磁,柵
目標,、
捕獲,作業
何,よ
正面,！
了解,！
嫌,ぁ
耐熱,処置
こんち,きしょーっ
さっき,の
冷却,液
バカ,、
ハローゥ,、
グーテンモルゲーン,！
あんた,バカ
ハローゥ,！
あたし,、
2人,掛かり
レディーファースト,よ
まぬけ,ぇ
何,よ
エヴァ,の
失礼,ね
あんた,こそ
あんた,、
ミサト,は
しっか,し
おまけ,に
嫌,よ
当たり前,じゃ
他,に
何,も
ミサト,は
これ,は
ママ,…
最後,に
嘘,ばっか
エッチ,！
ハロ,〜
見物,料
何,すん
フーン,、
加持,先輩
うそ,ぉ
サード,チルドレン
水中,衝撃波
爆発,が
あれ,が
チャーンス,!
あんた,も
あんた,バカ
L.C.L.,Füllung
思考,ノイズ
あんた,日本語
バカ,!!!
エヴァンゲリオン,弐号
どこ,?
エヴァ,弐号
外部,電源
プログナイフ,で
今度,こそ
何,よ
だらし,ない
口,ぃ
変,な
ウフッ,!
惣流・アスカ・ラングレー,です
