自分,が
失敗,する
人,から
心,が
それ,が
不安,な
それ,が
人,は
人,は
自分,は
一つ,に
人,は
心,も
それ,を
誰,の
好き,じゃ
好き,じゃ
それ,は
僕,を
人,の
自分,が
難儀,な
私,に
人,に
誰,も
自分,に
エヴァ,に
エヴァ,に
エヴァ,に
僕,は
他,に
他,に
僕,に
僕,に
僕,は
あんた,なんか
おまえ,なんか
僕,は
嫌い,ね
嫌い,です
嫌い,だ
嫌い,です
嫌い,だ
エヴァ,に
人,に
人,に
どちら,が
今,の
確か,に
エヴァ,そのもの
本当,の
自分,から
それ,が
雨,、
夕日,。
朝,。
青い空,。
みんな,、
何,を
何,が
何,を
私,を
ほしいもの,は
そばにいて,も
ここ,に
私,の
ママ,の
行きたくない,。
お父さん,の
行きたくない,。
私,が
何,を
何,を
幸せ,で
それ,は
僕,に
これ,は
僕,を
これ,は
あなた,は
そうだ,。
それら,は
あなた,の
僕,と
誰,も
あんた,バカ
あなた,の
今,の
今,の
今,の
どれ,も
あなた,の
あなた,の
何,より
これ,は
自由,の
自由,？
何者,に
これ,が
僕,が
不安,な
自分,の
何,も
君,の
不自由,を
あなた,は
自分,の
それ,は
これ,が
世界,に
時,の
君,自身
おまえ,を
あなた,が
これ,は
自分,が
ここに,は
僕,しか
自分,以外
自分,の
他,の
あなた,は
他,の
他人,と
一番,最初
母親,は
なん,だ
なん,だ
何,甘え
ギャー,！
仕方,ない
シンジ,っ
あなた,も
君,の
君,は
バカ,言っ
今日,も
むぅ,…
いつ,つつつ
ごめんね,、
むぅぅ,！
カァ,〜
鈴原,こそ
ほんま,、
なん,で
尻,に
あんた,も
何,よ
アスカ,が
何,よ
何,よ
起立！礼！着席！,EOS
綾波レイ,です
あんた,こそ
わ,は
そうだ,、
僕,の
そうだ,、
現実世界,は
現実,を
現実,を
現実,を
真実,は
晴れ,の
雨,の
雨,の
人間,の
あんた,バカ
自分,が
僕,は
自分,が
僕,は
僕,は
そうだ,、
僕,は
僕,は
僕,は
クックックワァクッ,！
私,と
好き,で
誰か,、
お願いだから,、
そうだ,、
カヲル,君
彼,は
そうかな,…
何,が
